,SampleID,PlotName,Site,TrapName,Species,BiomassSum,Year,N,N_dec,P,P_dec,K,Mg,Ca,C,C_dec,Qty_C,Qty_N,Qty_P,Molar_C,Molar_N,Molar_P,CNRatio,CPRatio,NPRatio
100,DP_A13_ACRU,Dunphys Pond+A13,DP,A13,ACRU,72.45113367,2016,1.92,0.0192,0.128,0.00128,0.81,0.21,0.39,50.4,0.504,0.091026727,0.003467685,0.000231179,0.007578803,0.000247573,7.46E-06,30.61236023,1015.421148,33.17029921
101,DP_A3_ACRU,Dunphys Pond+A3,DP,A3,ACRU,51.2355859,2016,1.95,0.0195,0.099,0.00099,0.72,0.24,0.48,51,0.51,0.0651381,0.002490574,0.000126445,0.005423339,0.000177813,4.08E-06,30.50022704,1328.497125,43.55695856
102,DP_A5_ACRU ,Dunphys Pond+A5,DP,A5,ACRU,701.2292955,2016,1.63,0.0163,0.073,0.00073,0.64,0.18,0.6,51.08,0.5108,0.892902715,0.028493176,0.001276075,0.074342271,0.002034253,4.12E-05,36.54523776,1804.486619,49.37679244
103,DP_A7_ACRU,Dunphys Pond+A7,DP,A7,ACRU,793.6322083,2016,1.59,0.0159,0.078,0.00078,0.8,0.18,0.69,50.62,0.5062,1.001462355,0.031456443,0.001543146,0.083380848,0.002245814,4.98E-05,37.12722791,1673.605813,45.07758611
104,DP_C12_ACRU,Dunphys Pond+C12,DP,C12,ACRU,508.1390686,2016,1.82,0.0182,0.104,0.00104,0.89,0.16,0.38,49.89,0.4989,0.63195957,0.023054047,0.001317374,0.052616381,0.00164593,4.25E-05,31.9675699,1237.102835,38.69868242
105,DP_C14_ACRU,Dunphys Pond+C14,DP,C14,ACRU,462.8263343,2016,1.71,0.0171,0.125,0.00125,0.9,0.17,0.52,49.64,0.4964,0.572720908,0.019729105,0.001442186,0.047684224,0.001408548,4.66E-05,33.85346838,1024.111864,30.25131288
106,DP_C2_ACRU,Dunphys Pond+C2,DP,C2,ACRU,435.0836496,2016,1.38,0.0138,0.1,0.001,0.61,0.2,0.58,50.38,0.5038,0.546416908,0.014967355,0.001084591,0.045494177,0.001068585,3.50E-05,42.57420865,1299.223301,30.51667528
107,DP_C4_ACRU,Dunphys Pond+C4,DP,C4,ACRU,27.68300237,2016,1.91,0.0191,0.168,0.00168,1.25,0.14,0.4,49.95,0.4995,0.034470048,0.001318074,0.000115935,0.002869945,9.41E-05,3.74E-06,30.4978787,766.7465815,25.14098075
108,DP_C6_ACRU,Dunphys Pond+C6,DP,C6,ACRU,761.2663193,2016,1.78,0.0178,0.096,0.00096,0.81,0.22,0.61,49.67,0.4967,0.942592499,0.033779236,0.001821801,0.078479397,0.002411648,5.88E-05,32.54180701,1334.284879,41.00217542
109,DP_E1_ACRU,Dunphys Pond+E1,DP,E1,ACRU,337.8857086,2016,1.38,0.0138,0.209,0.00209,0.63,0.25,0.61,49.98,0.4998,0.420977882,0.011623639,0.001760392,0.035050237,0.000829863,5.68E-05,42.23618397,616.7023498,14.60128004
110,DP_F1_ACRU,Dunphys Pond+F1,DP,F1,ACRU,70.56772574,2016,1.36,0.0136,0.1,0.001,0.74,0.17,0.54,50.2,0.502,0.088308609,0.002392424,0.000175914,0.007352495,0.000170806,5.68E-06,43.04595192,1294.581375,30.07440462
111,DP_F11_ACRU ,Dunphys Pond+F11,DP,F11,ACRU,242.7777305,2016,1.4,0.014,0.105,0.00105,0.88,0.22,0.36,50.4,0.504,0.305022999,0.008472861,0.000635465,0.025395939,0.000604915,2.05E-05,41.98266546,1237.846733,29.48471041
112,DP_F13_ACRU,Dunphys Pond+F13,DP,F13,ACRU,182.9757377,2016,1.41,0.0141,0.106,0.00106,0.85,0.2,0.55,50.04,0.5004,0.228246439,0.006431404,0.000483496,0.019003592,0.000459166,1.56E-05,41.38716666,1217.410584,29.415171
113,DP_F3_ACRU,Dunphys Pond+F3,DP,F3,ACRU,52.57255777,2016,1.4,0.014,0.087,0.00087,0.74,0.19,0.65,50.43,0.5043,0.066090841,0.001834765,0.000114018,0.005502664,0.000130992,3.68E-06,42.00765514,1494.842212,35.58499533
114,DP_F5_ACRU ,Dunphys Pond+F5,DP,F5,ACRU,203.80078,2016,1.44,0.0144,0.086,0.00086,0.83,0.16,0.47,50.61,0.5061,0.257119718,0.007315795,0.000436916,0.021407555,0.000522307,1.41E-05,40.98654897,1517.621685,37.02731075
115,DP_F7_ACRU ,Dunphys Pond+F7,DP,F7,ACRU,594.4075716,2016,1.52,0.0152,0.081,0.00081,0.58,0.18,0.65,51.02,0.5102,0.755993377,0.022522735,0.001200225,0.062943324,0.001607997,3.87E-05,39.14392529,1624.355461,41.49699984
116,DP_F9_ACRU,Dunphys Pond+F9,DP,F9,ACRU,100.6292434,2016,1.77,0.0177,0.104,0.00104,0.71,0.23,0.57,50.45,0.5045,0.126554788,0.004440079,0.000260886,0.010536837,0.000316997,8.42E-06,33.23957113,1250.988936,37.6355318
117,DP_I10_ACRU,Dunphys Pond+I10,DP,I10,ACRU,460.768512,2016,2.04,0.0204,0.121,0.00121,0.87,0.23,0.74,50.18,0.5018,0.576377014,0.023431828,0.001389829,0.047988628,0.001672901,4.49E-05,28.68586809,1069.475707,37.28231978
118,DP_I12_ACRU ,Dunphys Pond+I12,DP,I12,ACRU,15.95021677,2016,1.65,0.0165,0.121,0.00121,0.92,0.22,0.58,50.39,0.5039,0.020035683,0.00065606,4.81E-05,0.001668153,4.68E-05,1.55E-06,35.61458775,1073.951393,30.15481747
119,DP_I14_ACRU ,Dunphys Pond+I14,DP,I14,ACRU,228.8120283,2016,1.65,0.0165,0.11,0.0011,0.98,0.16,0.57,50.71,0.5071,0.28924487,0.009411438,0.000627429,0.024082266,0.000671924,2.03E-05,35.84075699,1188.848633,33.17029921
120,DP_I2_ACRU,Dunphys Pond+I2,DP,I2,ACRU,14.93599462,2016,1.67,0.0167,0.111,0.00111,0.91,0.09,0.32,50.8,0.508,0.018914334,0.00062179,4.13E-05,0.00157479,4.44E-05,1.33E-06,35.47437467,1180.229243,33.26990972
121,DP_I4_ACRU,Dunphys Pond+I4,DP,I4,ACRU,13.43497138,2016,2.07,0.0207,0.128,0.00128,1.13,0.18,0.66,49.8,0.498,0.016678588,0.000693267,4.29E-05,0.001388644,4.95E-05,1.38E-06,28.05604857,1003.332801,35.76172884
122,DP_I6_ACRU,Dunphys Pond+I6,DP,I6,ACRU,80.21430974,2016,1.67,0.0167,0.1,0.001,0.95,0.16,0.48,50.32,0.5032,0.100620318,0.003339347,0.000199961,0.008377557,0.000238411,6.46E-06,35.13918373,1297.675992,36.92959979
123,DP_I8_ACRU,Dunphys Pond+I8,DP,I8,ACRU,113.515314,2016,1.9,0.019,0.147,0.00147,0.9,0.24,0.55,50.02,0.5002,0.141543961,0.00537652,0.000415973,0.011784822,0.000383853,1.34E-05,30.70135857,877.5098299,28.58211724
124,DP_K1_ACRU,Dunphys Pond+K1,DP,K1,ACRU,1569.266846,2016,1.77,0.0177,0.136,0.00136,0.67,0.17,0.54,50.03,0.5003,1.957133748,0.06924099,0.005320212,0.162949183,0.004943419,0.000171765,32.96284923,948.6745109,28.78011255
125,DP_L10_ACRU,Dunphys Pond+L10,DP,L10,ACRU,243.5675508,2016,1.46,0.0146,0.3,0.003,0.95,0.2,0.5,49.36,0.4936,0.299700718,0.00886473,0.00182152,0.02495281,0.000632892,5.88E-05,39.42664321,424.3063525,10.7619193
126,DP_L12_ACRU,Dunphys Pond+L12,DP,L12,ACRU,536.5069919,2016,1.32,0.0132,0.343,0.00343,0.77,0.25,0.66,49.78,0.4978,0.665768866,0.017653976,0.004587359,0.055431313,0.001260395,0.000148105,43.97931579,374.2712001,8.51016423
127,DP_L14_ACRU,Dunphys Pond+L14,DP,L14,ACRU,87.26940405,2016,1.4,0.014,0.224,0.00224,1.07,0.16,0.55,49.58,0.4958,0.107860328,0.003045673,0.000487308,0.008980353,0.000217444,1.57E-05,41.29961415,570.8002329,13.82095801
128,DP_L2_ACRU,Dunphys Pond+L2,DP,L2,ACRU,3821.620177,2016,1.92,0.0192,0.138,0.00138,0.89,0.18,0.49,50.14,0.5014,4.776667972,0.182911897,0.013146793,0.397701048,0.013058886,0.000424449,30.45443932,936.9812079,30.76665434
129,DP_L4_ACRU,Dunphys Pond+L4,DP,L4,ACRU,3.944399553,2016,1.41,0.0141,0.107,0.00107,0.68,0.16,0.77,49.95,0.4995,0.004911449,0.000138641,1.05E-05,0.000408923,9.90E-06,3.40E-07,41.31272931,1203.863791,29.14026286
130,DP_L6_ACRU,Dunphys Pond+L6,DP,L6,ACRU,1245.438124,2016,1.69,0.0169,0.176,0.00176,1.1,0.18,0.59,49.97,0.4997,1.551403292,0.052468913,0.005464218,0.129168432,0.003745987,0.000176414,34.48181777,732.187515,21.2340173
131,DP_L8_ACRU,Dunphys Pond+L8,DP,L8,ACRU,399.08563,2016,1.82,0.0182,0.131,0.00131,1,0.18,0.46,50.17,0.5017,0.499118187,0.01810634,0.001303259,0.041556128,0.001292691,4.21E-05,32.146983,987.6394817,30.7226181
132,DP_N1_ACRU,Dunphys Pond+N1,DP,N1,ACRU,7.164537991,2016,1.95,0.0195,0.221,0.00221,1.21,0.17,0.37,48.99,0.4899,0.008749613,0.00034827,3.95E-05,0.000728485,2.49E-05,1.27E-06,29.29815927,571.6639467,19.51194071
133,DP_N11_ACRU,Dunphys Pond+N11,DP,N11,ACRU,8.121896515,2016,1.2,0.012,0.277,0.00277,0.78,0.18,0.51,49.7,0.497,0.010062527,0.000242958,5.61E-05,0.000837797,1.73E-05,1.81E-06,48.29950169,462.7029381,9.579869809
134,DP_N13_ACRU,Dunphys Pond+N13,DP,N13,ACRU,8.928987972,2016,1.04,0.0104,0.226,0.00226,0.55,0.19,0.64,49.33,0.4933,0.010980107,0.000231488,5.03E-05,0.000914194,1.65E-05,1.62E-06,55.31530147,562.8961961,10.17613899
135,DP_N5_ACRU ,Dunphys Pond+N5,DP,N5,ACRU,570.9328203,2016,1.79,0.0179,0.161,0.00161,1.29,0.17,0.45,49.65,0.4965,0.706638777,0.025476,0.002291417,0.058834104,0.001818844,7.40E-05,32.3469792,795.2780837,24.58585325
136,DP_N7_ACRU,Dunphys Pond+N7,DP,N7,ACRU,544.3498528,2016,1.31,0.0131,0.135,0.00135,0.66,0.15,0.66,50.39,0.5039,0.683778863,0.017776351,0.001831914,0.056930809,0.001269132,5.91E-05,44.85806854,962.5786557,21.45831702
137,DP_N9_ACRU,Dunphys Pond+N9,DP,N9,ACRU,805.1150912,2016,1.59,0.0159,0.163,0.00163,1.45,0.14,0.39,49.86,0.4986,1.000698952,0.031911579,0.003271439,0.083317288,0.002278308,0.00010562,36.56980607,788.8425118,21.57086943
138,TN_A1_ACRU,TNNP North+A1,TN,A1,ACRU,4093.944379,2016,1.72,0.0172,0.137,0.00137,1.08,0.19,0.54,50.71,0.5071,5.175219231,0.175534945,0.013981563,0.430884064,0.012532213,0.0004514,34.38212153,954.5499977,27.7629755
139,TN_A11_ACRU,TNNP North+A11,TN,A11,ACRU,55.69109314,2016,1.46,0.0146,0.09,0.0009,0.64,0.14,0.62,49.86,0.4986,0.06921994,0.002026898,0.000124946,0.00576319,0.000144709,4.03E-06,39.82602168,1428.681438,35.87306434
140,TN_A3_ACRU,TNNP North+A3,TN,A3,ACRU,33.27355581,2016,1.62,0.0162,0.093,0.00093,0.99,0.15,0.48,50.09,0.5009,0.041547362,0.001343716,7.71E-05,0.003459196,9.59E-05,2.49E-06,36.05815694,1388.972735,38.52034747
141,TN_A7_ACRU,TNNP North+A7,TN,A7,ACRU,1656.68378,2016,1.75,0.0175,0.118,0.00118,1.21,0.2,0.42,50.1,0.501,2.069047922,0.072272133,0.004873207,0.172267055,0.005159826,0.000157333,33.38621491,1094.917397,32.79549357
142,TN_A9_ACRU,TNNP North+A9,TN,A9,ACRU,1715.253963,2016,1.62,0.0162,0.074,0.00074,0.55,0.17,0.61,50.77,0.5077,2.170844914,0.069268638,0.003164123,0.180742581,0.004945393,0.000102155,36.54766676,1769.298385,48.41070696
143,TN_C10_ACRU,TNNP North+C10,TN,C10,ACRU,3.86461244,2016,1.53,0.0153,0.256,0.00256,1.17,0.25,0.78,49.84,0.4984,0.004801503,0.000147398,2.47E-05,0.000399769,1.05E-05,7.96E-07,37.98867187,502.0693456,13.21629109
144,TN_C2_ACRU,TNNP North+C2,TN,C2,ACRU,7.492171148,2016,1.42,0.0142,0.078,0.00078,0.63,0.18,0.49,51.07,0.5107,0.009538207,0.00026521,1.46E-05,0.000794142,1.89E-05,4.70E-07,41.9416026,1688.483779,40.25796999
145,TN_C4_ACRU ,TNNP North+C4,TN,C4,ACRU,752.9669215,2016,1.5,0.015,0.129,0.00129,1.03,0.15,0.38,50.14,0.5014,0.941138264,0.028155313,0.002421357,0.078358319,0.002010132,7.82E-05,38.98168233,1002.35199,25.71341024
146,TN_C8_ACRU ,TNNP North+C8,TN,C8,ACRU,11.2039507,2016,1.64,0.0164,0.15,0.0015,0.95,0.24,0.45,50.22,0.5022,0.014026235,0.000458045,4.19E-05,0.001167812,3.27E-05,1.35E-06,35.71086482,863.3980965,24.17746254
147,TN_F1_ACRU,TNNP North+F1,TN,F1,ACRU,2.503455132,2016,1.18,0.0118,0.101,0.00101,0.69,0.16,0.6,50.35,0.5035,0.00314219,7.36E-05,6.30E-06,0.000261616,5.26E-06,2.03E-07,49.76052744,1285.593709,25.83561259
148,TN_F11_ACRU,TNNP North+F11,TN,F11,ACRU,1368.806187,2016,1.32,0.0132,0.199,0.00199,0.79,0.16,0.51,49.96,0.4996,1.704737807,0.045041111,0.006790289,0.141934925,0.003215683,0.000219227,44.13834104,647.433237,14.66827302
149,TN_F7_ACRU,TNNP North+F7,TN,F7,ACRU,867.6769714,2016,1.55,0.0155,0.088,0.00088,0.92,0.22,0.61,50.36,0.5036,1.089273645,0.033526095,0.001903417,0.090691937,0.002393576,6.15E-05,37.88973176,1475.804013,38.94997256
150,TN_I10_ACRU,TNNP North+I10,TN,I10,ACRU,1238.506544,2016,1.52,0.0152,0.115,0.00115,0.93,0.18,0.58,50.12,0.5012,1.547399925,0.04692833,0.003550499,0.128835116,0.00335042,0.000114629,38.45342092,1123.928954,29.22832163
151,TN_I6_ACRU,TNNP North+I6,TN,I6,ACRU,174.7971932,2016,1.8,0.018,0.129,0.00129,1.35,0.14,0.39,50.18,0.5018,0.218654447,0.007843324,0.000562105,0.018204971,0.000559969,1.81E-05,32.5106505,1003.151632,30.85609229
152,TN_L12_ACRU,TNNP North+L12,TN,L12,ACRU,7.079644512,2016,1.75,0.0175,0.314,0.00314,1.06,0.25,0.58,50.07,0.5007,0.00883654,0.000308847,5.54E-05,0.000735722,2.20E-05,1.79E-06,33.36622317,411.2193865,12.32442115
153,TN_L8_ACRU,TNNP North+L8,TN,L8,ACRU,146.7940378,2016,1.27,0.0127,0.163,0.00163,1.46,0.13,0.6,48.82,0.4882,0.178648509,0.00464735,0.000596471,0.014874113,0.000331795,1.93E-05,44.82925913,772.3885164,17.22956237
154,TN_N3_ACRU,TNNP North+N3,TN,N3,ACRU,588.5435886,2016,1.75,0.0175,0.128,0.00128,1.25,0.17,0.54,49.85,0.4985,0.731369759,0.025674966,0.00187794,0.060893184,0.001833049,6.06E-05,33.21961703,1004.340164,30.23334564
155,TN_N5_ACRU,TNNP North+N5,TN,N5,ACRU,12.50940466,2016,1.82,0.0182,0.118,0.00118,1.41,0.2,0.38,50.07,0.5007,0.015613758,0.000567546,3.68E-05,0.001299987,4.05E-05,1.19E-06,32.08290689,1094.261757,34.10731332
156,TN_N7_ACRU,TNNP North+N7,TN,N7,ACRU,142.4152301,2016,1.74,0.0174,0.099,0.00099,0.73,0.17,0.5,50.23,0.5023,0.17832524,0.006177303,0.000351467,0.014847198,0.000441025,1.13E-05,33.66521848,1308.439424,38.86620918
157,UNI_A1_ACRU,Unicorn+A1,UNI,A1,ACRU,837.4609834,2016,1.51,0.0151,0.137,0.00137,1.52,0.14,0.52,49.95,0.4995,1.042781406,0.031523522,0.002860081,0.086821035,0.002250603,9.23E-05,38.57678697,940.2439831,24.37330988
158,UNI_A11_ACRU ,Unicorn+A11,UNI,A11,ACRU,12.46986904,2016,1.66,0.0166,0.14,0.0014,1.4,0.16,0.44,50.07,0.5007,0.015564411,0.000516016,4.35E-05,0.001295879,3.68E-05,1.41E-06,35.17523526,922.3063384,26.22033176
159,UNI_A13_ACRU,Unicorn+A13,UNI,A13,ACRU,40.1380833,2016,2.42,0.0242,0.177,0.00177,1.4,0.16,0.43,50.31,0.5031,0.05033895,0.002421393,0.000177102,0.004191175,0.000172874,5.72E-06,24.24412189,733.0045804,30.23432169
160,UNI_A3_ACRU,Unicorn+A3,UNI,A3,ACRU,12.20819636,2016,1.9,0.019,0.26,0.0026,2.17,0.14,0.5,50.05,0.5005,0.015231715,0.000578227,7.91E-05,0.001268179,4.13E-05,2.55E-06,30.71977202,496.428117,16.15988936
161,UNI_A7_ACRU,Unicorn+A7,UNI,A7,ACRU,180.1917912,2016,1.25,0.0125,0.067,0.00067,0.53,0.16,0.62,50.52,0.5052,0.226929809,0.005614851,0.000300956,0.01889397,0.000400869,9.72E-06,47.13253909,1944.527891,41.25659106
162,UNI_C12_ACRU,Unicorn+C12,UNI,C12,ACRU,112.8842828,2016,1.62,0.0162,0.141,0.00141,1.19,0.19,0.58,50.06,0.5006,0.14086968,0.004558707,0.000396776,0.011728682,0.000325466,1.28E-05,36.03656092,915.5822617,25.4070377
163,UNI_C14_ACRU,Unicorn+C14,UNI,C14,ACRU,6.837696984,2016,1.48,0.0148,0.149,0.00149,1.67,0.1,0.38,49.49,0.4949,0.008435688,0.00025227,2.54E-05,0.000702348,1.80E-05,8.20E-07,38.99628591,856.5580933,21.96511984
164,UNI_C6_ACRU,Unicorn+C6,UNI,C6,ACRU,10.18012219,2016,1.64,0.0164,0.224,0.00224,2.35,0.13,0.32,49.06,0.4906,0.012450126,0.000416188,5.68E-05,0.001036586,2.97E-05,1.84E-06,34.88600216,564.8136229,16.19026509
165,UNI_C8_ACRU,Unicorn+C8,UNI,C8,ACRU,69.00599654,2016,1.4,0.014,0.082,0.00082,0.75,0.18,0.68,50.52,0.5052,0.086904723,0.002408286,0.000141057,0.007235608,0.000171938,4.55E-06,42.08262418,1588.821569,37.75481211
166,UNI_E1_ACRU,Unicorn+E1,UNI,E1,ACRU,7.607175105,2016,1.94,0.0194,0.169,0.00169,1.21,0.15,0.36,50.26,0.5026,0.009531014,0.00036789,3.20E-05,0.000793544,2.63E-05,1.03E-06,30.21261119,766.9400495,25.38476547
167,UNI_F11_ACRU,Unicorn+F11,UNI,F11,ACRU,4398.488039,2016,1.81,0.0181,0.148,0.00148,1.54,0.14,0.42,49.77,0.4977,5.457129495,0.198461008,0.016227751,0.454355657,0.014169005,0.000523919,32.06687016,867.2245484,27.04425296
168,UNI_F13_ACRU,Unicorn+F13,UNI,F13,ACRU,342.1415833,2016,1.25,0.0125,0.173,0.00173,1.37,0.13,0.67,49.7,0.497,0.423892227,0.010661273,0.00147552,0.035292883,0.000761155,4.76E-05,46.36752163,740.8596176,15.97798613
169,UNI_F3_ACRU,Unicorn+F3,UNI,F3,ACRU,48.3369734,2016,1.39,0.0139,0.144,0.00144,1.11,0.18,0.77,49.99,0.4999,0.060235954,0.001674895,0.000173514,0.005015191,0.000119578,5.60E-06,41.94071635,895.2540249,21.34570181
170,UNI_F9_ACRU,Unicorn+F9,UNI,F9,ACRU,22.91765767,2016,1.56,0.0156,0.139,0.00139,1.8,0.1,0.46,49.69,0.4969,0.028387845,0.000891226,7.94E-05,0.002363546,6.36E-05,2.56E-06,37.1459873,921.8915494,24.8180656
171,UNI_G14_ACRU,Unicorn+G14,UNI,G14,ACRU,94.96802505,2016,1.9,0.019,0.174,0.00174,1.24,0.13,0.4,49.78,0.4978,0.117848892,0.004498049,0.000411927,0.009811992,0.000321136,1.33E-05,30.55405097,737.7874807,24.14696111
172,UNI_I12_ACRU,Unicorn+I12,UNI,I12,ACRU,1047.13816,2016,1.55,0.0155,0.083,0.00083,0.58,0.15,0.57,50.77,0.5077,1.325269958,0.04046028,0.002166583,0.110340776,0.002888638,6.99E-05,38.19820655,1577.446753,41.29635645
173,UNI_I14_ACRU,Unicorn+I14,UNI,I14,ACRU,132.9229569,2016,1.27,0.0127,0.096,0.00096,0.86,0.13,0.59,49.4,0.494,0.163689245,0.004208205,0.000318101,0.013628618,0.000300442,1.03E-05,45.36184763,1327.031871,29.25436111
174,UNI_I2_ACRU,Unicorn+I2,UNI,I2,ACRU,250.1607385,2016,1.83,0.0183,0.173,0.00173,1.68,0.11,0.34,49.85,0.4985,0.310869072,0.011412044,0.001078844,0.025882677,0.000814756,3.48E-05,31.76739334,743.0956124,23.3917717
175,UNI_I4_ACRU,Unicorn+I4,UNI,I4,ACRU,7.051752228,2016,1.19,0.0119,0.06,0.0006,0.68,0.15,0.59,50.06,0.5006,0.008799968,0.000209188,1.05E-05,0.000732677,1.49E-05,3.41E-07,49.05817537,2151.618315,43.85850674
176,UNI_K1_ACRU,Unicorn+K1,UNI,K1,ACRU,190.9185203,2016,1.66,0.0166,0.143,0.00143,1.27,0.16,0.53,50.3,0.503,0.239391788,0.007900405,0.000680577,0.019931543,0.000564045,2.20E-05,35.33681514,907.1050508,25.67025487
177,UNI_L10_ACRU,Unicorn+L10,UNI,L10,ACRU,2.953110071,2016,1.21,0.0121,0.076,0.00076,0.66,0.16,0.56,50.39,0.5039,0.003709516,8.91E-05,5.59E-06,0.000308851,6.36E-06,1.81E-07,48.56534693,1709.843665,35.20707197
178,UNI_L14_ACRU,Unicorn+L14,UNI,L14,ACRU,10.91504777,2016,1.58,0.0158,0.101,0.00101,0.87,0.19,0.52,50.38,0.5038,0.013708092,0.000429908,2.75E-05,0.001141323,3.07E-05,8.87E-07,37.18506831,1286.359703,34.59344737
179,UNI_L4_ACRU,Unicorn+L4,UNI,L4,ACRU,3631.073071,2016,1.59,0.0159,0.101,0.00101,0.92,0.15,0.63,49.89,0.4989,4.515872754,0.143921381,0.009142176,0.375987474,0.010275181,0.000295159,36.59180957,1273.848464,34.81239323
180,UNI_L6_ACRU,Unicorn+L6,UNI,L6,ACRU,150.0230735,2016,1.62,0.0162,0.1,0.001,0.88,0.14,0.51,50.84,0.5084,0.190132695,0.006058516,0.000373982,0.015830276,0.000432544,1.21E-05,36.59805747,1311.085998,35.82392315
181,UNI_L8_ACRU,Unicorn+L8,UNI,L8,ACRU,964.3370119,2016,1.68,0.0168,0.12,0.0012,1.15,0.17,0.53,50.28,0.5028,1.208696621,0.040386045,0.002884717,0.100634986,0.002883338,9.31E-05,34.90225561,1080.537044,30.95894593
182,UNI_N11_ACRU,Unicorn+N11,UNI,N11,ACRU,239.4273012,2016,1.59,0.0159,0.087,0.00087,0.6,0.19,0.57,50.43,0.5043,0.300992616,0.009489952,0.000519262,0.025060373,0.000677529,1.68E-05,36.98787245,1494.842212,40.41438755
183,UNI_N13_ACRU ,Unicorn+N13,UNI,N13,ACRU,231.5973384,2016,1.13,0.0113,0.071,0.00071,0.68,0.14,0.6,50.63,0.5063,0.292303957,0.006523869,0.000409907,0.024336963,0.000465768,1.32E-05,52.25128692,1838.972421,35.19477757
184,UNI_N5_ACRU,Unicorn+N5,UNI,N5,ACRU,253.279419,2016,1.62,0.0162,0.093,0.00093,0.97,0.16,0.53,50.39,0.5039,0.318154055,0.01022841,0.000587186,0.026489218,0.000730251,1.90E-05,36.27411715,1397.291597,38.52034747
185,UNI_N7_ACRU,Unicorn+N7,UNI,N7,ACRU,25.83964595,2016,1.53,0.0153,0.152,0.00152,1.36,0.15,0.53,50.04,0.5004,0.032232728,0.000985533,9.79E-05,0.002683668,7.04E-05,3.16E-06,38.14111437,848.983697,22.25901658
186,UNI_N9_ACRU ,Unicorn+N9,UNI,N9,ACRU,10.35049326,2016,1.56,0.0156,0.187,0.00187,2.51,0.11,0.39,49.36,0.4936,0.012735893,0.000402512,4.82E-05,0.001060379,2.87E-05,1.56E-06,36.89929428,680.7053783,18.44765304
187,BL_A1_BEPA,Bloomfield+A1,BL,A1,BEPA,62.63556428,2016,2.83,0.0283,0.153,0.00153,2.3,0.24,0.4,49.08,0.4908,0.076633516,0.004418762,0.000238894,0.006380437,0.000315475,7.71E-06,20.22486475,827.2537809,40.90280905
188,BL_A7_BEPA,Bloomfield+A7,BL,A7,BEPA,3.579134534,2016,1.63,0.0163,0.312,0.00312,2.37,0.26,0.36,48.21,0.4821,0.004301385,0.000145432,2.78E-05,0.000358129,1.04E-05,8.99E-07,34.49189335,398.4815105,11.55290336
189,BL_C2_BEPA,Bloomfield+C2,BL,C2,BEPA,0.846576586,2016,1.1,0.011,0.116,0.00116,1.05,0.12,0.21,50.82,0.5082,0.001072492,2.32E-05,2.45E-06,8.93E-05,1.66E-06,7.90E-08,53.877754,1129.801921,20.96972939
190,BL_C4_BEPA,Bloomfield+C4,BL,C4,BEPA,1.753085333,2016,1.47,0.0147,0.254,0.00254,1.93,0.17,0.27,48.81,0.4881,0.00213307,6.42E-05,1.11E-05,0.000177597,4.59E-06,3.58E-07,38.72210697,495.5651169,12.79798946
191,BL_C6_BEPA,Bloomfield+C6,BL,C6,BEPA,1.305627232,2016,0.48,0.0048,0.022,0.00022,0.11,0.04,0.09,50.15,0.5015,0.001632237,1.56E-05,7.16E-07,0.000135899,1.12E-06,2.31E-08,121.8420528,5878.59978,48.24770795
192,BL_C8_BEPA,Bloomfield+C8,BL,C8,BEPA,15.97159669,2016,1.97,0.0197,0.231,0.00231,2.31,0.2,0.28,47.99,0.4799,0.019106991,0.000784346,9.20E-05,0.001590831,5.60E-05,2.97E-06,28.40874387,535.7527483,18.85872711
193,BL_E1_BEPA,Bloomfield+E1,BL,E1,BEPA,398.2356815,2016,1.49,0.0149,0.129,0.00129,0.92,0.16,0.42,49.54,0.4954,0.491800964,0.014791753,0.001280628,0.040946903,0.001056048,4.13E-05,38.7736996,990.3573509,25.54198751
194,BL_F13_BEPA ,Bloomfield+F13,BL,F13,BEPA,3.296677126,2016,1.67,0.0167,0.246,0.00246,1.47,0.14,0.2,48.99,0.4899,0.00402603,0.000137242,2.02E-05,0.000335204,9.80E-06,6.53E-07,34.21042549,513.5680172,15.01203244
195,BL_F5_BEPA,Bloomfield+F5,BL,F5,BEPA,126.9335446,2016,1.31,0.0131,0.286,0.00286,1.46,0.21,0.35,49.14,0.4914,0.155490823,0.004145156,0.000904973,0.012946025,0.000295941,2.92E-05,43.74529645,443.0928648,10.12892587
196,BL_N11_BEPA,Bloomfield+N11,BL,N11,BEPA,4.912847506,2016,2.3,0.023,0.285,0.00285,2.01,0.37,0.67,49.45,0.4945,0.006056096,0.000281679,3.49E-05,0.000504225,2.01E-05,1.13E-06,25.07298076,447.4526386,17.84600893
197,BL_N3_BEPA,Bloomfield+N3,BL,N3,BEPA,17.08152223,2016,1.97,0.0197,0.17,0.0017,0.86,0.2,0.46,50.88,0.5088,0.021665408,0.000838853,7.24E-05,0.001803842,5.99E-05,2.34E-06,30.11954341,771.8338455,25.62568214
198,DP_A1_BEPA,Dunphys Pond+A1,DP,A1,BEPA,16.07924027,2016,1.71,0.0171,0.153,0.00153,1.02,0.2,0.38,49.85,0.4985,0.019981307,0.000685417,6.13E-05,0.001663626,4.89E-05,1.98E-06,33.9966841,840.2322938,24.7151249
199,DP_A11_BEPA,Dunphys Pond+A11,DP,A11,BEPA,4.126797564,2016,1.56,0.0156,0.099,0.00099,0.63,0.15,0.36,51.15,0.5115,0.005262014,0.000160484,1.02E-05,0.000438111,1.15E-05,3.29E-07,38.23741699,1332.40447,34.84556685
