"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1405",8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,6
"387",7.8,0.54,NA,2,0.088,23,48,0.9981,3.41,0.74,9.2,6
"929",8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,NA,11.2,5
"989",7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5
"1575",5.6,0.31,0.78,13.9,0.074,NA,92,0.99677,3.39,0.48,10.5,6
"747",8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6
"1542",NA,NA,0.29,2.2,0.054,19,49,0.99666,3.4,NA,10.9,7
"627",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5
"620",11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5
"202",8.8,0.37,0.48,NA,0.097,39,145,0.9975,3.04,1.03,9.3,5
"73",7.7,0.69,0.22,1.9,0.084,18,94,0.9961,NA,0.48,9.5,5
"335",7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
"1070",8,0.62,0.35,2.8,NA,28,52,0.997,3.31,0.62,10.8,5
"1271",5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6
"131",8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5
"1174",7.6,NA,0.31,1.7,0.079,NA,65,NA,3.46,0.62,9.5,6
"1085",NA,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
"1044",9.5,0.39,0.41,8.9,0.069,18,39,NA,3.29,0.81,10.9,7
"682",8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,NA,10.2,6
"983",NA,0.52,0.32,NA,0.07,51,70,0.99418,3.34,0.82,12.9,6
"529",8.2,0.42,0.49,2.6,0.084,32,NA,0.9988,3.34,NA,8.7,6
"1518",6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
"1235",7.1,0.75,0.01,2.2,0.059,NA,18,0.99242,3.39,0.4,12.8,6
"1198",7.7,0.57,0.21,1.5,0.069,4,NA,0.99458,3.16,0.54,9.8,6
"273",10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5
"94",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
"330",10.7,0.46,0.39,2,0.061,7,NA,0.9981,3.18,0.62,9.5,5
"933",7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6
"179",7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
"1596",5.9,0.55,0.1,2.2,0.062,NA,51,0.99512,3.52,0.76,11.2,6
"304",7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5
"930",NA,0.33,0.38,NA,0.063,10,NA,0.99468,3.3,0.73,12,7
"954",10.2,0.34,0.48,2.1,0.052,5,9,0.99458,NA,0.69,12.1,7
"473",12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
"829",7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8
"1255",7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5
"1140",8.2,0.51,NA,2,0.079,16,86,NA,3.34,0.64,9.5,6
"726",9,0.66,0.17,3,0.077,5,NA,0.9976,3.29,0.55,10.4,5
"1011",8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7
"108",6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,NA,9.3,5
"659",7.2,0.52,0.07,NA,0.074,5,NA,0.9973,3.32,0.81,9.6,6
"1581",7.4,0.35,0.33,NA,0.068,9,26,0.9947,3.36,0.6,11.9,6
"618",11.5,0.31,0.51,2.2,0.079,14,NA,0.9982,3.03,0.93,9.8,6
"1533",7.2,0.53,0.13,2,0.058,18,22,NA,3.21,0.68,9.9,6
"755",7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,6
"1208",9.9,0.72,0.55,NA,0.136,NA,52,0.99752,3.35,0.94,10,5
"843",10.6,0.5,0.45,2.6,NA,34,68,0.99708,3.23,0.72,10.9,6
"1559",6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5
"1216",8.8,0.27,NA,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6
"746",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
"1445",7.3,0.67,0.02,2.2,0.072,31,NA,NA,3.32,NA,11.1,6
"1073",7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6
"460",11.6,0.58,0.66,2.2,0.074,NA,47,1.0008,3.25,0.57,9,3
"1046",NA,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6
"132",NA,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
"187",7.4,0.39,0.48,2,0.082,14,67,0.9972,NA,0.55,9.2,5
"53",6.6,0.5,0.04,2.1,0.068,6,14,NA,3.39,0.64,9.4,6
"1310",7,0.62,0.1,1.4,0.071,NA,63,0.996,3.28,0.61,9.2,5
"637",9.6,0.88,0.28,2.4,0.086,30,NA,0.9979,3.24,NA,9.4,5
"1083",7.2,0.38,0.3,1.8,0.073,31,70,NA,3.42,0.59,9.5,6
"837",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,NA,0.39,11.7,7
"1274",7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5
"702",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
"1186",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
"87",8.6,0.49,0.28,1.9,0.11,20,136,NA,2.93,1.95,9.9,6
"228",9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5
"1551",7.1,NA,0,2.3,0.087,17,NA,0.99783,3.45,0.53,9.5,5
"1590",6.6,0.725,0.2,NA,0.073,29,79,0.9977,3.29,0.54,9.2,5
"3",7.8,NA,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
"1457",6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6
"1476",5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.5666666666667,7
"1507",6.8,0.81,0.05,2,0.07,6,14,0.99562,NA,0.66,10.8,6
"138",7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5
"1571",6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6
"767",8.8,0.59,0.18,NA,0.089,12,74,0.99738,3.14,0.54,9.4,5
"1312",6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,6
"869",6.8,0.56,0.22,1.8,NA,15,24,0.99438,3.4,0.82,11.2,6
"669",10,0.73,NA,2.3,0.059,15,31,0.9966,3.15,0.57,11,5
"708",7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5
"905",6.8,0.59,0.06,6,0.06,11,18,0.9962,NA,0.59,10.8,7
"1192",NA,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
"1111",8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6
"496",10.7,0.35,0.53,2.6,NA,5,16,0.9972,3.15,0.65,11,8
"218",NA,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5
"332",NA,0.36,0.64,2.9,0.122,10,NA,0.998,3.23,0.66,12.5,6
"110",8.1,0.785,0.52,2,0.122,37,NA,0.9969,3.21,0.69,9.3,5
"1143",6.9,0.45,0.11,2.4,0.043,NA,12,0.99354,3.3,0.65,11.4,6
"619",11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5
"1553",6.3,0.68,0.01,3.7,0.103,NA,54,0.99586,3.51,0.66,11.3,6
"1294",7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4
"27",7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5
"592",6.6,0.39,0.49,1.7,0.07,23,NA,0.9922,3.12,0.5,11.5,6
"1134",7.2,0.48,0.07,5.5,0.089,10,18,NA,3.37,0.68,11.2,7
"924",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,NA,10.1,6
"527",7.3,0.365,0.49,2.5,0.088,39,NA,0.9966,3.36,0.78,11,5
"870",7.6,0.63,0.03,NA,0.08,NA,43,0.99578,3.44,0.64,10.9,6
"1047",NA,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,6
"778",6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6
"1487",6.8,0.68,0.21,NA,0.07,9,23,0.99546,3.38,0.6,10.3,5
"1197",7.9,0.58,0.23,2.3,0.076,NA,94,0.99686,3.21,0.58,9.5,6
"267",8.1,0.87,0,3.3,NA,26,NA,1.00025,3.6,0.72,9.8,4
"1147",7.8,0.5,0.12,1.8,0.178,6,21,NA,3.28,0.87,9.8,6
"493",8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7
"1510",NA,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5
"1020",NA,0.5,0.14,1.8,0.078,NA,23,0.99636,3.53,0.61,10.4,5
"603",7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5
"1585",6.7,0.32,0.44,NA,0.061,24,34,0.99484,3.29,0.8,11.6,7
"281",11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
"536",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
"528",7,0.38,NA,2.5,0.097,33,85,NA,3.39,NA,11.4,6
"1544",11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6
"1444",6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,NA,11.7,5
"1173",9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6
"743",6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5
"195",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,NA,0.55,9.7,5
"341",12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6
"1530",7.1,0.69,0.08,2.1,0.063,NA,52,0.99608,3.42,0.6,10.2,6
"1532",6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,5
"925",8.6,0.47,0.27,2.3,0.055,NA,NA,NA,3.18,0.8,11.2,5
"1357",6.1,NA,0.25,1.8,NA,4,28,0.99464,3.36,NA,10.1,5
"375",14,0.41,0.63,3.8,0.089,6,NA,1.0014,3.01,0.81,10.8,6
"158",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
"941",9.6,0.33,0.52,NA,0.074,13,25,NA,3.36,0.76,12.4,7
"554",5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5
"98",7,NA,0.25,2,NA,3,22,NA,3.25,0.63,9.2,5
"820",NA,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5
"1493",6.2,0.65,NA,NA,0.05,NA,18,0.99348,3.57,0.54,11.95,5
"683",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5
"1050",9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6
"1423",7,0.54,0,2.1,NA,39,55,0.9956,3.39,0.84,11.4,6
"1141",7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6
"646",7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7
"826",NA,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5
"791",7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,NA,9.7,6
"938",12,0.63,0.5,1.4,0.071,6,NA,0.99791,3.07,0.6,10.4,4
"425",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
"252",7.1,0.6,NA,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"1526",6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,5
"85",6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
"1057",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
"1128",6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6
"1324",9.1,NA,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7
"1546",6.5,0.63,0.33,1.8,0.059,NA,28,0.99531,3.36,0.64,10.1,6
"126",9,0.62,0.04,1.9,0.146,NA,90,0.9984,3.16,0.7,9.4,5
"547",7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6
"1361",9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5
"237",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"1301",5.2,0.645,0,2.15,NA,NA,28,0.99444,3.78,0.61,12.5,6
"503",10.4,0.44,0.73,6.55,0.074,38,76,NA,3.17,0.85,12,7
"614",8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5
"1374",7.7,0.75,NA,3.8,0.11,34,NA,0.99664,3.24,0.45,9.3,5
"968",8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5
"95",5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
"1273",5.9,0.46,0,1.9,0.077,25,44,0.99385,NA,0.53,11.2,5
"233",8.5,0.37,0.2,2.8,NA,NA,58,0.998,3.34,NA,9.6,6
"522",7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5
"379",11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,NA,13.3,6
"1018",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
"331",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
"987",9.8,0.34,0.39,NA,NA,3,NA,0.9947,3.19,NA,11.4,7
"271",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
"1092",7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6
"828",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5
"615",NA,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,NA,10.2,6
"491",9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
"1220",9,0.39,0.4,1.3,0.044,NA,50,0.99478,3.2,0.83,10.9,6
"712",8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5
"1519",NA,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,NA,10.5,5
"355",6.1,0.21,0.4,1.4,NA,NA,165,0.9912,3.25,0.59,11.9,6
"685",9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5
"1108",9.1,0.3,0.41,2,0.068,NA,NA,0.99523,3.27,0.85,11.7,7
"688",9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5
"8",7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
"864",NA,0.62,0.06,NA,0.078,17,84,0.99746,3.51,0.53,9.7,5
"105",7.2,NA,NA,2.2,0.07,NA,NA,0.996,3.33,0.48,9.4,5
"176",6.9,0.5,0.04,1.5,0.085,19,NA,0.9958,3.35,0.78,9.5,5
"141",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
"1306",7.5,0.61,0.26,1.9,0.073,24,88,NA,3.3,0.53,9.8,5
"530",NA,0.63,NA,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
"133",5.6,0.5,0.09,2.3,0.049,17,99,NA,3.63,0.63,13,5
"543",9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5
"532",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5
"753",7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,NA,9.4,5
"1135",8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7
"707",7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5
"752",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
"264",7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5
"275",7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5
"266",11.8,0.26,0.52,1.8,0.071,NA,10,0.9968,3.2,0.72,10.2,7
"1318",9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6
"1056",8.2,0.64,NA,2,0.095,5,77,NA,3.13,0.62,9.1,6
"566",12.7,NA,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5
"490",9.3,0.39,0.4,2.6,0.073,NA,26,NA,3.34,0.75,10.2,6
"461",9.2,0.43,NA,NA,0.083,14,23,NA,3.35,0.61,11.3,6
"1035",8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,6
"589",5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,NA
"738",8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6
"143",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
"1430",7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,5
"1402",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
"485",10.6,0.44,0.68,NA,0.114,6,24,0.997,3.06,0.66,13.4,6
"256",8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5
"346",NA,NA,0,1.9,0.067,40,63,NA,3.6,0.81,9.9,5
"689",7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5
"412",NA,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
"722",8.9,0.48,0.24,2.85,0.094,NA,106,0.9982,3.1,NA,9.2,5
"827",7.5,NA,0.34,NA,0.05,4,8,0.9951,3.4,0.64,11,7
"1268",10.4,0.43,0.5,2.3,0.068,13,19,NA,3.1,0.87,11.4,6
"946",10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7
"39",5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
"418",7,0.58,0.12,1.9,0.091,34,NA,0.9956,3.44,0.48,10.5,5
"204",7,0.42,0.35,1.6,0.088,16,NA,0.9961,3.34,0.55,9.2,5
"222",7.4,0.53,0.26,2,0.101,NA,72,NA,NA,0.57,9.4,5
"1103",6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6
"660",7.1,0.84,0.02,4.4,0.096,5,NA,0.997,3.41,0.57,11,4
"1483",7.2,0.58,0.54,2.1,0.114,NA,9,NA,3.33,0.57,10.3,4
"1335",NA,0.835,0,2,0.166,4,NA,0.99608,3.39,0.52,10,5
"520",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
"668",11.3,0.34,0.45,2,0.082,NA,15,0.9988,2.94,0.66,9.2,6
"1488",6,0.64,0.05,1.9,0.066,9,NA,0.99496,3.52,0.78,10.6,5
"97",6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5
"1480",8.2,NA,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5
"1010",9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5
"184",6.8,0.61,NA,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
"318",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
"69",9.3,0.32,0.57,2,0.074,27,NA,0.9969,3.28,0.79,10.7,5
"1323",9.1,0.34,0.42,1.8,0.058,NA,18,0.99392,3.18,0.55,11.4,5
"378",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
"18",8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
"242",12,0.38,0.56,2.1,0.093,6,24,NA,3.14,0.71,10.9,6
"178",7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
"1471",10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5
"674",8.2,0.73,0.21,1.7,0.074,5,13,NA,3.2,0.52,9.5,5
"180",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
"1369",8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6
"506",10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7
"1287",7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,NA,12.4,6
"1158",5.1,NA,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7
"790",8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5
"900",8.3,NA,0.02,3.4,0.084,6,11,NA,3.48,0.49,11,3
"236",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"1172",7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,NA
"691",7.4,1.185,0,4.25,0.097,NA,14,0.9966,3.63,0.54,10.7,3
"295",13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6
"521",9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6
"831",7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4
"531",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,NA,10.3,6
"21",8.9,0.22,0.48,1.8,NA,29,60,0.9968,3.39,0.53,9.4,6
"1003",9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
"959",NA,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7
"492",9.2,0.41,0.5,2.5,0.055,12,25,NA,3.34,0.79,13.3,7
"866",7.2,0.635,0.07,2.6,0.077,16,NA,0.99748,3.51,0.54,9.7,5
"372",7.9,0.24,0.4,1.6,0.056,11,NA,0.9967,3.32,NA,8.7,6
"1285",7,0.42,0.19,NA,0.071,NA,36,0.99476,3.39,0.56,10.9,5
"420",6.8,0.77,0,1.8,0.066,34,NA,0.9976,3.62,NA,9.9,5
"697",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,NA,9.5,6
"1289",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
"57",10.2,0.42,NA,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
"803",5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
"1144",7,0.22,0.3,1.8,0.065,16,NA,0.99672,3.61,0.82,10,6
"809",NA,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5
"1166",8.5,0.44,0.5,NA,0.369,15,38,0.99634,3.01,1.1,9.4,5
"1440",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,6
"394",8.4,0.665,NA,2,0.112,13,95,0.997,3.16,0.54,9.1,5
"1119",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6
"1417",10,0.32,0.59,2.2,NA,3,15,0.9994,3.2,0.78,9.6,5
"353",NA,0.665,0,2.4,NA,8,19,0.9974,3.27,0.73,9.3,5
"1091",10,0.26,0.54,1.9,0.083,42,74,NA,2.98,0.63,11.8,8
"65",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
"590",10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,NA,10.5,7
"895",NA,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
"1489",NA,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
"58",7.5,0.63,0.12,5.1,0.111,50,110,0.9983,NA,0.77,9.4,5
"757",6.3,0.98,0.01,2,0.057,NA,33,0.99488,3.6,0.46,11.2,6
"480",9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
"1292",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6
"1479",7.1,0.875,0.05,NA,NA,3,14,0.99808,3.4,0.52,10.2,3
"511",12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5
"1501",NA,0.725,0.04,NA,0.076,8,15,NA,3.26,0.53,9.6,5
"361",8.2,0.7,0.23,2,0.099,14,81,NA,3.19,0.7,9.4,5
"1171",9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6
"371",6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5
"1428",7.6,NA,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,5
"1019",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
"354",13.5,0.53,0.79,4.8,0.12,23,77,NA,3.18,0.77,13,5
"1560",7.8,NA,0.26,2,0.08,NA,131,0.99622,3.21,0.52,9.9,5
"995",10,NA,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5
"1443",6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
"1302",NA,0.86,0.07,2,0.1,NA,57,0.99598,3.6,0.74,11.7,6
"1454",7.6,0.49,0.33,NA,0.074,27,85,0.99706,3.41,0.58,9,5
"1376",7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5
"1234",10.2,0.23,0.37,2.2,0.057,14,36,NA,3.23,0.49,9.3,4
"284",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
"816",10.8,0.45,0.33,2.5,0.099,20,NA,0.99818,3.24,0.71,10.8,5
"1114",8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,NA,9.5,6
"926",NA,0.22,0.36,1.9,0.064,53,77,NA,3.47,0.87,11,7
"150",8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
"666",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5
"1407",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
"724",7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5
"863",7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5
"872",6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5
"30",7.8,0.645,NA,NA,0.082,8,16,0.9964,3.38,0.59,9.8,6
"1490",6.2,NA,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6
"947",10.2,0.44,0.58,4.1,0.092,11,NA,0.99745,3.29,0.99,12,7
"1094",NA,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7
"1259",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
"1188",7,0.43,0.3,2,0.085,NA,39,0.99346,3.33,0.46,11.9,6
"678",8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5
